"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.1480415735073,0.0472830003941652,-24.2802183435247,3.17217742688279e-130,-1.24071625427986,-1.05536689273473,0.317257486833129,0.289177019466683,0.348064701466604,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct",0.901516680904987,0.0202682755330705,44.4791999908446,0,0.861790860860168,0.941242500949805,2.46333637459853,2.36739657750559,2.56316417455238,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong",1.60785798517711,0.0209160870695855,76.8718345753655,0,1.56686245452073,1.6488535158335,4.99210660085523,4.7915907505232,5.20101352803998,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",0.21031617989521,0.0203236379937389,10.3483529848348,4.25746683607196e-25,0.170481849427482,0.250150510362938,1.23406818582819,1.18587612740784,1.28421869036371,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",0.597060244618766,0.017993477444512,33.1820375722242,1.95519996327934e-241,0.561793028827522,0.632327460410009,1.81677008265473,1.75381432240375,1.88198573307659,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-1.78813234072557,0.0167638755093122,-106.665808853822,0,-1.82098953672382,-1.75527514472732,0.167272285748902,0.161865499803393,0.172859674320023,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",0.2918025936819,0.0152227095591573,19.1688997643895,6.73174779323032e-82,0.261966082945952,0.321639104417849,1.33883869633323,1.29948246706486,1.37938687148889,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",0.696159185619525,0.0760018771822553,9.15976304045898,5.20113990978063e-20,0.547195506342305,0.845122864896745,2.00603309140898,1.72839893058163,2.32826385889609,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.678428862428177,0.0759148532118656,8.93670782099513,4.00936680175156e-19,0.52963575013292,0.827221974723433,1.97077893371998,1.69831358544272,2.28695668390475,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.935195716858504,0.0623724314793922,14.9937351274736,8.06851662333542e-51,0.812945751158896,1.05744568255811,2.5477120391437,2.25453952687152,2.87900768961219,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.188844628079048,0.0759018266957001,2.488011636876,0.0128459529667077,0.0400770477554754,0.33761220840262,1.20785327142009,1.04089096941581,1.4015968705147,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.856869911668749,0.0758548744951868,11.2961746673659,1.37059134215615e-29,0.708194357658183,1.00554546567931,2.3557753564024,2.03032191166833,2.73339784097225,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.389582343694317,0.0624547810975058,6.23783058475687,4.43680776253665e-10,0.267170972743205,0.511993714645428,1.47636405234267,1.30626376273847,1.66861462227216,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct:authoritypresent",-0.179772431364938,0.0284095557056755,-6.32788605451595,2.48542558850534e-10,-0.235455160548062,-0.124089702181814,0.835460314343103,0.790211094846839,0.883300603337597,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:authoritypresent",-0.0891643675319093,0.0290679648225562,-3.06744445564759,0.00215897580383174,-0.146137578584119,-0.0321911564796991,0.914695215022816,0.864038821769339,0.968321463464277,,0.865386804467105,164364,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
