"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.99570660080375,0.06489136462807,-15.3442080700679,2.11410837664881e-50,-1.12289367547477,-0.868519526132733,,,,-0.403951041374576,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong",-0.0724046810116975,0.0258405281167032,-2.8019814720774,0.00508088926034425,-0.123052116120436,-0.0217572459029593,,,,-0.0293740608643749,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0581351453378584,0.0258405281167032,-2.24976614546357,0.0244680312528243,-0.108782580446597,-0.00748771022912008,,,,-0.0235850123728554,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",0.0438873074937275,0.0351916902632445,1.24709291214594,0.212368950349931,-0.0250884054222316,0.112863020409687,,,,0.0178047665355506,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.677132289359018,0.0249694177351045,27.1184653379817,7.55686807350376e-161,0.628192230598213,0.726072348119823,,,,0.274707723353576,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.744893948765062,0.026354946343081,28.263914449616,1.92303762515734e-174,0.693238253932623,0.796549643597501,,,,0.302198143584039,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",1.03889159288235,0.134648798082628,7.71556529041449,1.929001350617e-14,0.7749799486404,1.3028032371243,,,,0.421470883572892,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.00854485748162908,0.117091689961072,-0.0729757806422461,0.941833890520505,-0.23804456980533,0.220954854842072,,,,-0.00346658752218287,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.351374626931708,0.100019785031794,3.51305121101805,0.000454412224651426,0.155335848269392,0.547413405594024,,,,0.142550171252347,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",0.920495039241048,0.107112315410697,8.59373673056757,1.89317439582699e-17,0.710554901036081,1.13043517744601,,,,0.373438249160347,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.222617734802094,0.144048606830612,-1.5454348341173,0.122409474621317,-0.504953004190093,0.0597175345859041,,,,-0.0903144216671508,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.431876543800402,0.0917546454516007,4.70686297870565,2.72231730861523e-06,0.252037438715265,0.61171564888554,,,,0.175209222749554,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:authoritypresent",0.0575311438278485,0.0365440253215249,1.5742968466575,0.115425028743481,-0.0140951458023403,0.129157433458037,,,,0.0233399732832648,1.61934814136946,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
