"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.86470351790486,0.0760729015670026,-24.5120598727588,1.09864611674503e-132,-2.01380640497618,-1.71560063083353,0.154942140646231,0.133479628942505,0.179855661408658,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong",3.34957975614751,0.0397173664444941,84.335394211714,0,3.2717337179163,3.42742579437872,28.490758061683,26.3569953495693,30.7972621371889,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",0.467926440282523,0.0376775825454027,12.4192267303417,2.05538494848284e-35,0.394078378493533,0.541774502071512,1.5966799470413,1.48301678074081,1.71905462324595,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",0.463235753152063,0.0455095290938166,10.1788737957959,2.463964161642e-24,0.374037076128183,0.552434430175944,1.58920795904145,1.45359104298562,1.73747764150585,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-2.80570252931322,0.0384932868035268,-72.8880997778596,0,-2.88114937144814,-2.73025568717831,0.060464278320168,0.0560702802048295,0.065202616063685,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",0.0749169568334258,0.0336240555164499,2.2280761699544,0.0258754360801682,0.0090138080211839,0.140820105645668,1.07779464368807,1.00905455472434,1.15121753182121,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",-0.515381882337102,0.160642119151426,-3.20826122725192,0.00133540143695395,-0.830240435873897,-0.200523328800308,0.597272463257186,0.435944457033183,0.818302399789781,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.329529560566175,0.133278972202048,2.47247975522062,0.0134179313180623,0.0683027750501612,0.590756346082189,1.39031391610067,1.07068943745535,1.80535337109253,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.286331696731504,0.114101888209807,2.50943872379224,0.0120923193470119,0.062691995840281,0.509971397622726,1.33153404750233,1.06469885704714,1.66524356434004,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.372784254086749,0.121342014500597,3.07217789008205,0.00212503043249868,0.134953905665579,0.610614602507918,1.45177109236291,1.14448402890589,1.84156288020502,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.383588444282687,0.16767025362427,2.28775489981822,0.0221517986076735,0.0549547471791179,0.712222141386256,1.46754134235041,1.05649280431409,2.03851610035895,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.217243833444902,0.104184846745914,2.0851768777346,0.0370532479389806,0.0130415338229116,0.421446133066892,1.24264706411457,1.01312694552111,1.52416410675792,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:authoritypresent",-0.310714825256183,0.0501048399721917,-6.20129363607649,5.60009163583037e-10,-0.408920311601679,-0.212509338910688,0.732922857157851,0.664367172568706,0.808552765284132,,1.9849917709102,52980,1811,"glmerMod","full_bobyqa_100000","lme4_wald_z"
