"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",0.538947049026237,0.20345580981143,2.64896367189393,0.00807390100053577,0.140173661795835,0.93772043625664,1.71420094202788,1.15047357481706,2.55415242381081,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct",1.64593609405646,0.0370218757024437,44.4584738840721,0,1.57337321767967,1.71849897043325,5.18586209022449,4.82288944167442,5.57615221001016,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",-0.206636228825754,0.0358571708901099,-5.76275884840509,8.27499908377517e-09,-0.27691628377037,-0.136356173881139,0.813315456900084,0.758117961231312,0.872531804098445,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",-3.14217639737393,0.0416772715163297,-75.3930447712439,0,-3.22386384954594,-3.06048894520193,0.0431886997688833,0.0398009757943648,0.0468647753101278,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-7.06631929962744,0.0917039407870387,-77.0557866868267,0,-7.24605902357004,-6.88657957568484,0.000853368328850975,0.000712978691586111,0.0010214014994836,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",-1.4860200973991,0.0342009614574657,-43.4496585497224,0,-1.55305398185573,-1.41898621294247,0.226271404036813,0.211600761156671,0.241959187693483,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",0.404819959820817,0.250298577525101,1.61734822396352,0.105803135243237,-0.0857652521283816,0.895405171770016,1.49903258966409,0.91780965979765,2.4483275817455,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.332285193416151,0.266052357633303,1.24894662228153,0.211684597662737,-0.189177427545123,0.853747814377424,1.39415039433468,0.827639647595775,2.34843186605392,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.972692911033873,0.232025932042327,4.19217327335822,2.76294834759005e-05,0.517922084230913,1.42746373783683,2.6450577825701,1.67853616668162,4.16811434392029,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.572230109645711,0.266884784508401,2.14410915444188,0.0320241417384228,0.0491359320092442,1.09532428728218,1.77221488125183,1.05036311900562,2.99015219451326,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.572409685411708,0.251157303142388,2.27908835717667,0.0226618134796794,0.080141371252628,1.06467799957079,1.77253315667307,1.08344022415038,2.89990506303125,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.551705237471987,0.242819665202089,2.27207807494844,0.0230817951030576,0.0757786936758924,1.02763178126808,1.73621114730166,1.0787238193361,2.79444014675582,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct:authoritypresent",0.436977550073563,0.0509209405014129,8.58149016437428,9.36518967595151e-18,0.337172506690794,0.536782593456332,1.5480213237014,1.40098072144227,1.71049464275798,,5.25246185441346,56596,1803,"glmerMod","full_bobyqa_100000","lme4_wald_z"
