"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",0.331342146711636,0.106421678367537,3.11348356645265,0.0018735805976377,0.122755657111264,0.539928636312008,,,,0.124612358842777,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong",-0.27655664711287,0.0288127375180568,-9.59841621920003,8.4466537517375e-22,-0.333029612648261,-0.220083681577478,,,,-0.104008429028428,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0169623294932498,0.0288127375180568,-0.588709402659832,0.556058664656431,-0.0734352950286411,0.0395106360421416,,,,-0.00637925452768252,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.799984202528089,0.0319383492445788,-25.0477630012101,1.04976927134365e-137,-0.862583367047463,-0.737385038008714,,,,-0.300860966536624,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",-0.0573466104704764,0.0312343971681187,-1.83600823674647,0.0663616894500517,-0.118566028919989,0.00387280797903613,,,,-0.0215671216996826,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",-0.106551435089307,0.0298577116664093,-3.56864036600569,0.000359135245133203,-0.165072549955469,-0.0480303202231451,,,,-0.0400722509838658,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",-0.238729869606865,0.128713816134017,-1.85473383337729,0.0638045695853607,-0.491008949229538,0.0135492100158078,,,,-0.0897823970574741,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.474166334797397,0.136352961053073,-3.47749202610156,0.000518661885977345,-0.741418138461419,-0.206914531133374,,,,-0.178326198611733,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",-0.228240495625924,0.118691648661853,-1.92297013479163,0.0546432339754303,-0.460876127003156,0.00439513575130815,,,,-0.0858375151656854,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",-0.116887283302284,0.136949157888004,-0.853508594758018,0.393488840272619,-0.385307632762772,0.151533066158204,,,,-0.0439593943468286,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.806646673889086,0.128522072787835,-6.27632792089107,4.38486864024689e-10,-1.05854993655324,-0.554743411224928,,,,-0.303366612981713,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",-0.0413395020975331,0.123951860292901,-0.33351255882604,0.738786321007546,-0.284285148271618,0.201606144076552,,,,-0.0155471102028042,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:authoritypresent",0.143826418828185,0.040747364167132,3.52971098297934,0.000416355947485906,0.063961585060606,0.223691252595764,,,,0.0540907623493098,1.2958518191193,56596,1803,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
