"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-2.86281762790105,0.0402788329322225,-71.0749895042476,0,-2.94176414044821,-2.7838711153539,,,,-1.18341616461386,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"n_committed",0.407593294051625,0.00265029548024513,153.791642135663,0,0.402398714910344,0.412787873192905,,,,0.168488725257204,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",0.436223638962836,0.0174964251252438,24.9321581889008,7.87500722056378e-137,0.401930645717358,0.470516632208313,,,,0.180323783360866,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",1.20095352054319,0.0163791378897445,73.3221448300487,0,1.16885041027929,1.23305663080709,,,,0.496443711715837,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",-0.427310842654884,0.0163791378897445,-26.088726130234,1.38081029674264e-149,-0.459413952918783,-0.395207732390984,,,,-0.176639459525514,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",0.135370496322101,0.0655960472824285,2.0636989869108,0.0391503231742449,0.00680224364854107,0.263938748995661,,,,0.0559587282116986,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.0596888061359819,0.0655226984157042,-0.910963796962244,0.362403571860086,-0.188113295030762,0.0687356827587983,,,,-0.0246738378789475,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.287831095434656,0.0537059085747509,5.35939346476258,9.11928583028439e-08,0.182567514628145,0.393094676241168,,,,0.118982071262997,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",0.466930951825583,0.0655242069174222,7.12608322621957,1.35034756697279e-12,0.338503506267436,0.595358397383731,,,,0.193017407313529,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",0.146008662583468,0.0655297477969315,2.22812794939988,0.0259618954794513,0.0175703569014827,0.274446968265454,,,,0.0603562762052752,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.220286191994999,0.0538004666503353,4.09450336977004,4.36506381347667e-05,0.114837277360341,0.325735106629656,,,,0.0910607221037843,0.622991641579537,114048,2489,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
