"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.073099558821785,0.107123563405112,-0.682385429481493,0.495080494790892,-0.283061743095804,0.136862625452234,,,,-0.0295239354598469,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"log_authority_peer_ratio",0.0259813812160039,0.00768842313389472,3.37928607251908,0.000727161863145958,0.0109120718735703,0.0410506905584376,,,,0.0104935328549531,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.349164026194749,0.027826400573553,-12.5479407684013,4.47310694499642e-36,-0.403703771318913,-0.294624281070585,,,,-0.141022686599332,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.111223013934413,0.0258498261751754,4.30266003263206,1.68994713411965e-05,0.0605573546310696,0.161888673237757,,,,0.0449214897870307,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.0132806193603729,0.0247256625332662,0.537118847371836,0.591187275448558,-0.0351816792048288,0.0617429179255747,,,,0.00536386477814954,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",-0.241101782026763,0.132350396557177,-1.82169293253763,0.0686792439960233,-0.500508559278831,0.018304995225305,,,,-0.0973777895043989,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.410939160920794,0.139546610864816,-2.94481649087764,0.00327576729646206,-0.684450518215832,-0.137427803625755,,,,-0.165972838420653,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.0151551441445894,0.121723396173288,0.124504775754156,0.900930192282483,-0.223422712355054,0.253733000644233,,,,0.00612096030155778,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",-0.0298964607708728,0.142696377427204,-0.209511000278366,0.834073598340228,-0.309581360528193,0.249788438986447,,,,-0.0120747811957251,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.619854368389926,0.132009909326222,-4.69551393189843,2.87689670641537e-06,-0.878593790669322,-0.36111494611053,,,,-0.250350900358572,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.18898476168973,0.127001917320851,1.48804652462285,0.136920982644318,-0.0599389962591375,0.437908519638598,,,,0.0763284210869864,1.41464353126424,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
