"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",0.210799077647727,0.17461375755877,1.20723063631901,0.22734333505668,-0.131443887167463,0.553042042462917,1.23466425849107,0.876828475086796,1.73853367506617,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"log_authority_peer_ratio",0.801155643913352,0.0107328716919489,74.6450406664533,0,0.780119215397132,0.822192072429572,2.2281143480123,2.18173234608316,2.27548239669772,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",-2.0403487262438,0.0356746557118446,-57.1932282325116,0,-2.11027105143902,-1.97042640104859,0.129983374359971,0.121205109161323,0.139397404341399,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-4.5442360784674,0.0580836247942842,-78.2360965687283,0,-4.6580799830642,-4.4303921738706,0.0106282887944989,0.00948465562990782,0.0119098180373649,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",-0.422621872221422,0.0273466446244456,-15.454249617287,7.06292991571421e-54,-0.476221295685335,-0.369022448757508,0.655326383377816,0.621126014530451,0.691409888983154,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",-0.0363311037576112,0.215317622380703,-0.168732607001271,0.866006969818682,-0.458353643623788,0.385691436108566,0.964320950327984,0.632323819375396,1.4706308172291,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.354396387777474,0.227802382983279,1.55571852733203,0.119775038946802,-0.0920962828697523,0.8008890584247,1.42532005396759,0.912017333671426,2.22752044422664,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.642818287567348,0.198862759574042,3.23247192659021,0.00122724193741753,0.253047278802226,1.03258929633247,1.90183324650107,1.28794416785278,2.80832802211207,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.579968760724135,0.23264170710118,2.4929698459954,0.0126679603981508,0.123991014805823,1.03594650664245,1.78598263707431,1.13200569966246,2.81777201376462,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.368587923250872,0.215264703749148,1.71225434003521,0.086849807214539,-0.0533308960974579,0.790506742599202,1.44569174495891,0.948066249151654,2.20451326403879,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.519167888762846,0.208104613570478,2.49474473369627,0.0126047771203633,0.11128284616471,0.927052931360983,1.68062859775452,1.11771100241943,2.52705080067772,,3.75351398309819,68215,1761,"glmerMod","full_bobyqa_100000","lme4_wald_z"
