"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.00229482499078,0.0616615169856794,-16.2547870047303,1.36614194833842e-55,-1.12315139828271,-0.881438251698845,,,,-0.436367731725642,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"log_authority_peer_ratio",-0.085115621810585,0.00663410999580248,-12.8299985777202,1.23940847061377e-37,-0.0981184774023579,-0.0721127662188122,,,,-0.0370566722463566,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.543814345100715,0.0292117191651055,-18.6163074493172,3.74405166217603e-77,-0.601069314664322,-0.486559375537108,,,,-0.236759710151799,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.488707087401168,0.0201352335357476,24.2712400893453,1.47336145371224e-129,0.449242029671102,0.528172145131233,,,,0.212767738483988,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.631626169028679,0.0212177668016958,29.7687393273734,1.94166827081553e-193,0.590039346097356,0.673212991960003,,,,0.274990224238799,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",1.40697037609902,0.129023152102441,10.9047899789483,6.87832488034094e-27,1.15408499797823,1.6598557542198,,,,0.612550774797376,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",0.0305555218066602,0.115633770857171,0.264243927878144,0.791623039255493,-0.196086669073396,0.257197712686716,,,,0.0133029158786572,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.631598847506903,0.0981084214840317,6.43776383263595,1.56030012195448e-10,0.439306341398201,0.823891353615605,,,,0.274978329305105,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",0.949738614592308,0.105768389848509,8.97941829267336,6.91867192760623e-19,0.74243257048923,1.15704465869539,,,,0.413486406043963,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",0.0309709323891352,0.14025470348483,0.220819206911553,0.825257494948886,-0.243928286441131,0.305870151219401,,,,0.0134837726177021,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.402029690943306,0.0907624297465794,4.42947254790143,1.00398859855149e-05,0.22413532864001,0.579924053246602,,,,0.175031118538306,1.63415142237337,65850,1823,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
