"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.619215674758199,0.0696456736366066,-8.89094242937629,6.05927681873267e-19,-0.755721195085948,-0.48271015443045,0.53836652650162,0.469671767586985,0.617108663666357,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"log_authority_peer_ratio",0.531325359323056,0.00898583509874593,59.1292131988053,0,0.513713122529514,0.548937596116598,1.70118549720544,1.67148611933911,1.73141258094707,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",0.893074789340485,0.037652840264846,23.718656628788,2.3149599620566e-124,0.819275222421387,0.966874356259583,2.4426286850507,2.26885482636353,2.62971205724757,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-0.838866417747708,0.0268245424745586,-31.2723476474322,1.10937930662432e-214,-0.891442520997842,-0.786290314497573,0.4322001802973,0.410063800260713,0.455531543458008,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",0.614608516270317,0.0267140349697851,23.006951850047,3.97121070508746e-117,0.562249007729538,0.666968024811096,1.84893263081434,1.75461420708423,1.94832109502343,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",-0.455303438103787,0.149227208979872,-3.05107521085648,0.00228023448718047,-0.747788767704336,-0.162818108503238,0.634255481465226,0.473412220599026,0.849745735882496,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.0702234807277361,0.130038895051537,0.540019051222367,0.589183894090135,-0.184652753573277,0.325099715028749,1.07274789294754,0.831392931958039,1.3841686615174,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.0083823477296303,0.110719824223658,0.0757077405821895,0.939651617576609,-0.208628507748739,0.225393203207999,1.00841757797495,0.811696718682002,1.25281523032404,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.133321657084905,0.118643695523073,1.12371463563336,0.261134105505824,-0.0992199861403178,0.365863300310128,1.14261747023239,0.905543479095694,1.44175814129219,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.0121571328647795,0.160850529463565,0.0755803099021398,0.939753002071414,-0.303109904883808,0.327424170613367,1.01223133117925,0.738517925183252,1.38738984238829,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.0996143044895629,0.102236939640879,0.974347479878324,0.329884037338185,-0.10077009720656,0.299998706185686,1.10474474080689,0.904140873505861,1.34985706111049,,1.99465175767773,65850,1823,"glmerMod","full_bobyqa_100000","lme4_wald_z"
