"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.0713527760518502,0.107654134345869,-0.66279643123235,0.507542850588017,-0.282354879369754,0.139649327266054,,,,-0.0281422650227337,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"log_authority_peer_ratio",0.0395449960076095,0.00789845428482777,5.00667530399865,5.55198867906063e-07,0.0240640256093471,0.055025966405872,,,,0.0155969510865336,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.402466751704757,0.0285646431868253,-14.0896824466684,5.08613174877237e-45,-0.458453452350934,-0.346480051058579,,,,-0.15873700528601,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.0615300287886107,0.0265436318766835,2.31807120722842,0.0204483981410849,0.00950451031031094,0.11355554726691,,,,0.0242680729866377,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",-0.00946823188205704,0.0253870329650785,-0.37295543339315,0.709182772827325,-0.0592268164936108,0.0402903527294968,,,,-0.00373436754202693,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",-0.0747275784558916,0.132855588848152,-0.562472223440307,0.573869218422473,-0.33512453259827,0.185669375686487,,,,-0.0294733216250007,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.514447540781658,0.140082650141102,-3.67245722624084,0.000247720334906937,-0.789009535058219,-0.239885546505098,,,,-0.202903374389393,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.00637148990598533,0.122218574576399,0.0521319278028603,0.95842962262785,-0.233176916263757,0.245919896075727,,,,0.00251298081792379,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",-0.118242500638372,0.143317729145432,-0.825037497757068,0.409461746470976,-0.399145249763418,0.162660248486674,,,,-0.0466360522188757,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.654025254006018,0.132502882569567,-4.93593227047448,8.77246558338127e-07,-0.91373090384237,-0.394319604169666,,,,-0.257954252773895,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.119293407594773,0.127528731264478,0.935423777935764,0.349700245757097,-0.130662905683604,0.369249720873149,,,,0.0470505406763362,1.41625344131918,68215,1761,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
