"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.52770829472542,0.0381306803407046,-40.0650678423534,0,-1.6024444281932,-1.45297216125764,0.217032472294794,0.20140359915176,0.233874142412408,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct",0.778704336504717,0.0187802983224987,41.4638960006206,0,0.741894951792619,0.815513721216814,2.17864764179388,2.0999109767198,2.2603365569851,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong",1.37885075338118,0.019170113978447,71.9271025165229,0,1.34127732998343,1.41642417677894,3.97033610919496,3.82392480099271,4.12235324708401,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reasoning_depthcot",0.176891680750789,0.0188732735254596,9.37260197666113,7.07660631533398e-21,0.139900064640888,0.213883296860689,1.19350180690552,1.15015885157581,1.23847811207568,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",0.183619039615499,0.0189875650475792,9.67048903613416,4.02450311420222e-22,0.146403412122243,0.220834667108754,1.20155798989985,1.15766310919536,1.2471172240218,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",1.0104029475248,0.0113544118652064,88.9876956657711,0,0.988148300268998,1.03265759478061,2.74670757107705,2.68625572519572,2.80851983310797,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",0.0660282806463241,0.010730497135376,6.15332913408494,7.58731143822717e-10,0.0449965062609872,0.0870600550316611,1.06825692773516,1.04602420536676,1.09096219552017,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",0.705630044348388,0.0106667746343297,66.1521470677187,0,0.684723166065102,0.726536922631674,2.02512219986148,1.98322273618216,2.06790687175498,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",0.414766509311132,0.0600766063772437,6.90396036531519,5.05724153797454e-12,0.297016360811735,0.53251665781053,1.51401719050155,1.34583731825896,1.70321332454918,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.408360519315386,0.0601039217221516,6.79424083511813,1.08884361391464e-11,0.290556832739969,0.526164205890803,1.50434941043812,1.33717186183202,1.69242803657637,,0.560060980250625,333342,2489,"glmerMod","full_bobyqa_100000","lme4_wald_z"
