"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.607466558542996,0.0446992712132994,-13.5900774678012,1.1650578862911e-40,-0.695077130121063,-0.519855986964929,,,,-0.29667913622715,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong",-0.0724046810117026,0.022589665777013,-3.20521258377275,0.00134999447464553,-0.116680425934648,-0.0281289360887571,,,,-0.0353615485811699,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reasoning_depthcot",-0.336553350274218,0.021808730726107,-15.432046665207,1.12670695289057e-53,-0.379298462497388,-0.293808238051049,,,,-0.164368483909952,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0581351453378635,0.022589665777013,-2.57352835193433,0.0100679754963171,-0.102410890260809,-0.013859400414918,,,,-0.0283924842622532,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.111191581343751,0.0177140594696098,-6.27702427749615,3.46310127099038e-10,-0.145911137904187,-0.0764720247833162,,,,-0.0543045898492207,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",-0.201291418495289,0.0148928014234975,-13.5160211145834,1.35127043339923e-41,-0.230481309285345,-0.172101527705234,,,,-0.098308233316342,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.508300173122862,0.0152877599938865,33.2488326168207,2.81355404124261e-241,0.478336163534844,0.538264182710879,,,,0.248247502986665,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",1.22120961720311,0.0793909754521279,15.3822221007915,8.12540702569041e-51,1.06560330531694,1.37681592908929,,,,0.59642363729964,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.0569542575622392,0.0753687121840737,-0.75567507937696,0.449932301170324,-0.204676933443024,0.0907684183185453,,,,-0.0278157533124974,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.46263138059159,0.0628938701619973,7.35574674288574,2.75478375615119e-13,0.339359395074076,0.585903366109105,,,,0.225943430885623,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",0.598423012465338,0.0710867405900624,8.41820862087739,7.4929174847037e-17,0.459093000908816,0.73775302402186,,,,0.292262380438674,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",0.0828740241563992,0.0788243975126279,1.05137529459864,0.293199749111085,-0.0716217949683514,0.23736984328115,,,,0.0404746459811059,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.314646747144664,0.0604206468987328,5.20760308429043,2.1203501458703e-07,0.196222279223148,0.43307121506618,,,,0.153669570524933,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:reasoning_depthcot",-0.0745144579508582,0.0304494703661362,-2.44715120016433,0.0144005212753685,-0.134195419868485,-0.0148334960332313,,,,-0.0363919374826461,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:authoritypresent",0.0575311438278598,0.0319466117113271,1.80085275858727,0.071728698832009,-0.00508421512634134,0.120146502782061,,,,0.0280974974127753,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reasoning_depthcot:authoritypresent",0.0364858515612645,0.0304494703661362,1.1982425678524,0.230825057193211,-0.0231951103563624,0.0961668134788915,,,,0.0178192375752678,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:reasoning_depthcot:authoritypresent",-0.0859034376661379,0.0430620539588674,-1.99487552888658,0.0460588032649624,-0.170305063425518,-0.00150181190675774,,,,-0.0419541739826139,0.770518119469906,117832,2223,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
