"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",0.026918325164111,0.0766808405983527,0.351043689063174,0.725586840848022,-0.12337612240866,0.177212772736882,,,,0.0117738245492164,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct",-0.233585412396636,0.0252942500972376,-9.23472376127673,2.63714539071977e-20,-0.283162142587222,-0.18400868220605,,,,-0.102168082376873,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reasoning_depthcot",0.0512428193834741,0.0268013252130673,1.91195095675679,0.0558852565192671,-0.00128777803413789,0.103773416801086,,,,0.0224131316175864,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0169623294932508,0.0252942500972376,-0.670600212619201,0.502476764413962,-0.0665390596838364,0.0326144006973349,,,,-0.00741916483220878,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-0.091425676825087,0.0201048815190555,-4.54743673761188,5.43642059444488e-06,-0.130831244602436,-0.0520201090477383,,,,-0.0399887389601448,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",-0.235677391022039,0.0206805248242033,-11.3961030015165,4.55573898902817e-30,-0.276211219677477,-0.195143562366601,,,,-0.103083094330479,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.136590230867216,0.01987740625068,6.87163250298529,6.38255825012096e-12,0.0976305146158831,0.175549947118549,,,,0.0597432939665833,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",-0.0626628009677558,0.096531957769547,-0.649140475502964,0.516330850296719,-0.251865438196068,0.126539836260556,,,,-0.0274081251288425,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.385446211217104,0.0993735148074704,-3.87876198163948,0.000108657350356362,-0.580218300239746,-0.190674122194462,,,,-0.16859058044521,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",-0.0347006425748876,0.0871868176815229,-0.398003316299978,0.69067310149,-0.205586805230673,0.136185520080897,,,,-0.0151777376538459,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",-0.258511765090882,0.0999475991040686,-2.58647298592647,0.00976893269771745,-0.454409059334856,-0.0626144708469075,,,,-0.113070636732863,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.648035928799926,0.0962649313488585,-6.7317965090681,2.251969709971e-11,-0.836715194243689,-0.459356663356163,,,,-0.283444875591716,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.021318514862847,0.090328753077167,0.236010286166961,0.813450176760316,-0.1557258411684,0.198362870894094,,,,0.00932451971342071,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:reasoning_depthcot",0.0951753705556318,0.0373809030935095,2.54609607257341,0.010894976619072,0.0219088004923532,0.16844194061891,,,,0.0416288200509101,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:authoritypresent",0.161848893914764,0.0357714715375703,4.52452434741961,6.05996138711567e-06,0.0917368097011266,0.231960978128402,,,,0.0707911977739906,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reasoning_depthcot:authoritypresent",-0.00605022280800457,0.0373809030935095,-0.161853307633306,0.871421693385253,-0.0793167928712832,0.067216347255274,,,,-0.00264631106841991,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:reasoning_depthcot:authoritypresent",-0.151974416927316,0.0528645801285955,-2.87478717427873,0.00404383451260882,-0.255588993979364,-0.0483598398752693,,,,-0.0664721935693571,0.887563774910357,104396,2004,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
