"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.05896917771066,0.0559110659779463,-18.9402430303933,4.35694682864373e-74,-1.16855486702743,-0.949383488393882,,,,-0.460677691563775,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong",-0.0724046810117012,0.0246142357021055,-2.9415774630576,0.00326614615612942,-0.120648582987828,-0.0241607790355745,,,,-0.0314978207193824,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reflectionself_reflection",0.471622323792521,0.0242466331947634,19.4510437801475,3.9837497708611e-84,0.424098922730785,0.519145724854258,,,,0.205167334411357,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0581351453378619,0.0246142357021055,-2.36185051778346,0.0181857405757804,-0.106379047313989,-0.00989124336173516,,,,-0.0252902210155623,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",1.15497572606534,0.0211694498906936,54.5586083733373,0,1.11348360427958,1.1964678478511,,,,0.502442906266866,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.761386454459597,0.0168824897318322,45.0991806631453,0,0.728296774585206,0.794476134333989,,,,0.331221872752383,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.528308110536184,0.0178075651031942,29.6676220176456,1.16910583146966e-192,0.493405282933923,0.563210938138444,,,,0.22982704871768,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",1.02153645210149,0.113734873181338,8.98173465646514,6.3875934367098e-19,0.79861610066607,1.24445680353692,,,,0.444393533360182,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",0.0567149765206185,0.100192578099163,0.56605965827615,0.57142678147664,-0.13966247655374,0.253092429594977,,,,0.0246724125787078,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.244169613852396,0.0852824541079253,2.86306974167745,0.004245952343477,0.0770160038008628,0.41132322390393,,,,0.106219799808257,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",0.610113301741192,0.0918722939127787,6.64088459922879,4.18239375452893e-11,0.430043605672146,0.790182997810239,,,,0.265414323055285,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.147201121596138,0.122211625503664,-1.20447724174755,0.228561142566526,-0.386735907583319,0.0923336643910434,,,,-0.0640361157999972,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.441415305660972,0.0782788284925989,5.63901266998019,1.99901398939786e-08,0.287988801815478,0.594841809506465,,,,0.192026537044666,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:reflectionself_reflection",-0.117026672170183,0.0342346542879317,-3.41836874372751,0.000630209837492906,-0.184126594574529,-0.0499267497658365,,,,-0.0509094866229249,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:authoritypresent",0.0575311438278564,0.0348097859573657,1.65272903137984,0.098388936232658,-0.0106960366485803,0.125758324304293,,,,0.0250274654725427,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reflectionself_reflection:authoritypresent",0.0373929413023022,0.0342346542879317,1.09225409398931,0.274723873621186,-0.029706981102044,0.104492863706648,,,,0.0162668510495884,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous wrong:reflectionself_reflection:authoritypresent",-0.0703010041354578,0.0484151123971474,-1.45204669894766,0.146491532162701,-0.165194624433867,0.0245926161629511,,,,-0.0305826694311843,1.23891063339753,109676,1827,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
