"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-1.68509828839705,0.0677000795446876,-24.8906397116527,9.39609628065221e-137,-1.81779044430464,-1.55240613248946,0.185426205815736,0.162384151662024,0.211737890990631,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong",3.22559743754558,0.0371963687157802,86.718073535419,0,3.15269255486265,3.29850232022851,25.1686063353717,23.3989828825825,27.0720632620507,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reflectionself_reflection",-0.2001644497921,0.0389042480746846,-5.14505381026371,2.67444139211981e-07,-0.276416776018482,-0.123912123565719,0.818596124046013,0.758496741623788,0.883457472564231,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",0.460552292354738,0.0373421201468344,12.3333193333368,5.99262812320924e-35,0.387361736866943,0.533742847842534,1.58494909858276,1.47308926560093,1.70530306870001,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",0.787612475496307,0.0271573190133618,29.0018493765453,6.23558391553685e-185,0.734384130230118,0.840840820762496,2.19814203828287,2.08419800261607,2.31831544527031,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-2.57052147212083,0.0273667526636585,-93.9286258663176,0,-2.6241603073416,-2.51688263690006,0.0764956446751886,0.072500609711607,0.0807108199165379,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",-0.789890387389394,0.0234404400810163,-33.6977626981117,6.2337695804891e-249,-0.835833649948186,-0.743947124830602,0.453894545121732,0.433512932717498,0.475234399121187,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",-0.132847452016087,0.138256600394408,-0.960876020653695,0.336614509048034,-0.403830388789127,0.138135484756953,0.875598652730501,0.667757370800693,1.14813109399926,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.427032660540092,0.117118892491131,3.64614667588689,0.000266202068098119,0.197479631257475,0.656585689822709,1.53270271980518,1.21832824890249,1.92819761785415,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.427864232201919,0.0999048218489028,4.28271853433686,1.84623656544334e-05,0.232050781378069,0.623677683025768,1.53397780204063,1.26118377185215,1.86577717670573,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.619688762009024,0.106808156514523,5.80188613146566,6.55730881031736e-09,0.410344775240559,0.829032748777488,1.85834956284422,1.50733738814518,2.29110159734901,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.7107406059614,0.145978795252314,4.86879347601775,1.12281677083266e-06,0.424622167266863,0.996859044655936,2.03549820265532,1.5290125995011,2.70975722133679,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.12036577335526,0.0913363947663201,1.31782925813101,0.187560811209176,-0.0586535603867272,0.299385107097248,1.127909335319,0.943033416704194,1.34902904410948,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:reflectionself_reflection",-1.25090980778829,0.0497041887634567,-25.1670903179086,9.18704453718807e-140,-1.34833001776467,-1.15348959781192,0.286244251105874,0.259673548967055,0.315533760050231,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:authoritypresent",-0.315447772448591,0.0490081125179079,-6.43664398079654,1.22143970652318e-10,-0.411503672983691,-0.219391871913492,0.729462168068347,0.662653087076032,0.803006980607214,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reflectionself_reflection:authoritypresent",-0.265065743759467,0.0530298236895922,-4.99842777737707,5.77996473165845e-07,-0.369004198191067,-0.161127289327866,0.767155512630408,0.69142250772042,0.851183717607871,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:reflectionself_reflection:authoritypresent",0.0955265529439725,0.0685026154768846,1.39449497335188,0.163168186374648,-0.0387385733907213,0.229791679278666,1.100238036205,0.962002169240978,1.2583378447757,,1.6309390688525,109676,1827,"glmerMod","full_bobyqa_100000","lme4_wald_z"
