"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",0.162089484182912,0.0900094521642012,1.80080514085585,0.0718741560612152,-0.0143290420589221,0.338508010424747,,,,0.06500065122082,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct",-0.233585412396631,0.0272825917666495,-8.56170170321456,1.12571869061082e-17,-0.287059292259264,-0.180111532533998,,,,-0.0936717393975483,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reflectionself_reflection",0.476827109056849,0.0270275776651606,17.6422435988962,1.44586234128013e-69,0.423853056833135,0.529801161280564,,,,0.191215813688817,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0169623294932455,0.0272825917666495,-0.621727203864127,0.534122508020116,-0.0704362093558785,0.0365115503693876,,,,-0.00680218379891241,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",0.112488922785373,0.0210405349300431,5.34629576478845,8.99429294526826e-08,0.0712494743224884,0.153728371248257,,,,0.0451099790528459,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.0888867233644656,0.0210178547419293,4.22910541803024,2.34802546258321e-05,0.0476917280702843,0.130081718658647,,,,0.0356450940213692,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",-0.068490740776718,0.0200880793805215,-3.40952161126615,0.000650991258172304,-0.10786337636254,-0.0291181051908959,,,,-0.0274659566937678,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",-0.622535213986444,0.11272977757949,-5.52236709193781,3.84395002384293e-08,-0.843485578042244,-0.401584849930644,,,,-0.249647252078042,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",-0.388942454723262,0.119956073064649,-3.24237401897647,0.00120757301362825,-0.624056357929975,-0.153828551516549,,,,-0.155972566461542,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",-0.316859721499577,0.102708818614079,-3.08502936529876,0.00206630420339395,-0.518169005983171,-0.115550437015983,,,,-0.127066159454726,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",-0.167390945702064,0.119288524562432,-1.40324432979684,0.160713486541351,-0.401196453844431,0.066414562440303,,,,-0.0671266278250647,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.636591559115194,0.112668359724068,-5.6501360335257,1.86808751916418e-08,-0.857421544174369,-0.41576157405602,,,,-0.255284086520197,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",-0.151844183592854,0.106410453448657,-1.42696679387913,0.153761119895117,-0.360408672352221,0.0567203051665135,,,,-0.0608921107213304,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:reflectionself_reflection",-0.0103533658777861,0.0381782300834345,-0.271185066860353,0.786249190385473,-0.0851826968413178,0.0644759650857455,,,,-0.00415187652534007,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:authoritypresent",0.161848893914756,0.0385834112930842,4.19477927146805,2.73344325893745e-05,0.086225407780311,0.237472380049201,,,,0.0649041704146382,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"reflectionself_reflection:authoritypresent",-0.0231974971354988,0.0381782300834345,-0.607610596007281,0.543446985880285,-0.0980268280990304,0.0516318338280329,,,,-0.00930259250377382,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:reflectionself_reflection:authoritypresent",-0.16286474113133,0.0539921707713935,-3.01645106696877,0.00255809042206829,-0.268689395843261,-0.0570400864193985,,,,-0.0653115424964917,1.19559459898657,115660,1862,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
