"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",1.13287651483818,0.155682177862478,7.27685423208112,3.41694116446869e-13,0.82773944622772,1.43801358344863,3.10457402152365,2.28814042506996,4.21232007857422,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct",1.55513722616686,0.0352375800287945,44.1329178932288,0,1.48607156931043,1.6242028830233,4.73573634751833,4.41969888989297,5.07437255612438,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reflectionself_reflection",-0.901650927513226,0.0365348371687833,-24.6792102383757,1.78837204742439e-134,-0.973259208364041,-0.830042646662411,0.405898996463846,0.377849538702626,0.436030690671351,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",-0.20230907881317,0.03546771106195,-5.70403538192258,1.17003773490159e-08,-0.271825792494591,-0.132792365131748,0.816842420236063,0.761986993381292,0.875646888060767,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",-3.28162911089943,0.0287224273209306,-114.253195742549,0,-3.33792506844846,-3.22533315335041,0.0375670061095212,0.0355105633201472,0.0397425390104162,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",-6.03147025555593,0.0506958801837673,-118.973578004612,0,-6.13083418071611,-5.93210633039574,0.0024019598863787,0.00217476605593517,0.00265288824056593,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",-2.44856903593864,0.0248727357923914,-98.4438968184459,0,-2.49731959809173,-2.39981847378555,0.0864171579124165,0.0823053145465546,0.0907344224708043,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",0.338522846112256,0.195862103134417,1.72837338461506,0.0839213040303938,-0.0453668760312009,0.722412568255714,1.40287379879998,0.955646813600945,2.05939565470189,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.149155590814623,0.209107767962608,0.71329531307175,0.475663037139445,-0.260695634392088,0.559006816021334,1.16085359331479,0.770515402317866,1.74893462357543,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.565800915037413,0.179578993070571,3.15070769338296,0.00162875407459381,0.213826088619094,0.917775741455733,1.76085751537122,1.23840726294722,2.50371528188578,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.490626117332595,0.208294363925507,2.35544595680015,0.0185004879108181,0.082369164038601,0.898883070626589,1.63333856145244,1.08585659505322,2.45685744183996,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.344235086309985,0.19646702405303,1.7521265360902,0.0797520522718172,-0.0408402808339537,0.729310453453924,1.41091028221532,0.959982445299355,2.07365023621879,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.685311630921379,0.186321152686592,3.67812039073272,0.000234959058305653,0.320122171655658,1.0505010901871,1.98439013651792,1.37729602059284,2.85908341782229,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct:reflectionself_reflection",-0.536802311081857,0.0499083647619584,-10.7557583511737,5.56741726342509e-27,-0.634622706015295,-0.438981916148419,0.584614682543821,0.530135467512694,0.644692438046752,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct:authoritypresent",0.406013795109051,0.049107911285749,8.26778790786966,1.36467385758186e-16,0.309762288988983,0.502265301229119,1.5008232563357,1.36310105148801,1.65246035449773,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reflectionself_reflection:authoritypresent",-0.0150433628538869,0.0518048627408932,-0.290385150311616,0.771521602852066,-0.116580893826038,0.0864941681182638,0.985069223264121,0.88995810194886,1.09034500893609,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous correct:reflectionself_reflection:authoritypresent",-0.214644591664372,0.0708344880684985,-3.0302271890044,0.00244369843350635,-0.353480188278629,-0.0758089950501149,0.806828142673406,0.702239905031586,0.926993249950013,,3.60279680278217,115660,1862,"glmerMod","full_bobyqa_100000","lme4_wald_z"
